id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo,data,hora,ano,mes,dia_semana_nome,gravidade
516635.0,2023-04-13,,19:30:00,RJ,101,321,NITEROI,AUSÊNCIA DE REAÇÃO DO CONDUTOR,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS,PLENA NOITE,Crescente,CÉU CLARO,DUPLA,Curva,Sim,2,0,1,0,1,0,1,2,-22.86981096,-43.11046465,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,,19,,,,1.0
516701.0,2023-04-14,,07:50:00,RJ,101,317,SAO GONCALO,AUSÊNCIA DE REAÇÃO DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,CÉU CLARO,DUPLA,Reta,Sim,2,0,1,0,1,0,1,2,-22.83707798,-43.09492006,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,7,,,,1.0
517013.0,2023-04-15,,15:30:00,RJ,101,321,NITEROI,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CHUVA,DUPLA,Curva,Sim,3,0,2,0,1,0,2,2,-22.86981096,-43.11046465,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,,15,,,,1.0
517080.0,2023-04-15,,21:40:00,RJ,101,309,SAO GONCALO,PEDESTRE ANDAVA NA PISTA,ATROPELAMENTO DE PEDESTRE,COM VÍTIMAS FERIDAS,PLENA NOITE,Decrescente,GAROA/CHUVISCO,DUPLA,Reta,Não,3,0,0,1,1,1,1,2,-22.79498873,-43.03446105,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,21,,,,1.0
517159.0,2023-04-16,,06:45:00,RJ,101,301,SAO GONCALO,DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS,QUEDA DE OCUPANTE DE VEÍCULO,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,CÉU CLARO,SIMPLES,Reta,Sim,2,0,1,0,1,0,1,1,-22.77857497,-42.95745101,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,6,,,,1.0
517177.0,2023-04-16,,12:45:00,RJ,101,301,SAO GONCALO,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,COLISÃO TRASEIRA,SEM VÍTIMAS,PLENO DIA,Crescente,CÉU CLARO,MÚLTIPLA,Reta,Sim,3,0,0,0,2,1,0,3,-22.77857497,-42.95745101,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,12,,,,0.0
517266.0,2023-04-16,,19:17:00,RJ,101,322,NITEROI,TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS,PLENA NOITE,Decrescente,NUBLADO,MÚLTIPLA,Reta;Ponte,Sim,4,0,2,0,2,0,2,2,-22.878923,-43.110676,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,,19,,,,1.0
517312.0,2023-04-17,,00:20:00,RJ,493,5,ITABORAI,DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS,INCÊNDIO,SEM VÍTIMAS,PLENA NOITE,Crescente,NUBLADO,SIMPLES,Reta,Sim,1,0,0,0,1,0,0,1,-22.73998606,-42.95374823,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,0,,,,0.0
517466.0,2023-04-17,,08:30:00,RJ,101,313,SAO GONCALO,DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS,QUEDA DE OCUPANTE DE VEÍCULO,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,SOL,DUPLA,Reta,Não,2,0,1,0,1,0,1,1,-22.81049093,-43.06983304,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,8,,,,1.0
517549.0,2023-04-15,,02:00:00,RJ,101,304,SAO GONCALO,AUSÊNCIA DE REAÇÃO DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENA NOITE,Decrescente,CÉU CLARO,DUPLA,Reta,Não,2,0,1,0,1,0,1,2,-22.78491869,-42.98627706,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,2,,,,1.0
517864.0,2023-04-19,,11:30:00,RJ,101,"266,7",RIO BONITO,CHUVA,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CHUVA,DUPLA,Curva,Sim,3,0,1,0,2,0,1,1,-22.70861445,-42.65178735,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2023,,11,,,,1.0
517920.0,2023-04-17,,03:30:00,RJ,101,321,NITEROI,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO COM OBJETO,COM VÍTIMAS FERIDAS,PLENA NOITE,Crescente,CÉU CLARO,DUPLA,Curva,Sim,3,0,2,0,1,0,2,1,-22.86981096,-43.11046465,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,,3,,,,1.0
517944.0,2023-04-20,,06:27:00,RJ,101,310,SAO GONCALO,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,SOL,DUPLA,Reta,Sim,2,0,1,0,0,1,1,2,-22.79717023,-43.04404993,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,6,,,,1.0
517963.0,2023-04-20,,07:14:00,RJ,101,312,SAO GONCALO,AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU,QUEDA DE OCUPANTE DE VEÍCULO,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,SOL,DUPLA,Reta,Sim,1,0,1,0,0,0,1,1,-22.80546555,-43.06156967,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,7,,,,1.0
518042.0,2023-04-20,,11:23:00,RJ,101,298,ITABORAI,ACESSO IRREGULAR,ATROPELAMENTO DE PEDESTRE,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,SOL,DUPLA,Reta,Não,2,0,1,0,1,0,1,2,-22.7714,-42.92896,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,11,,,,1.0
518050.0,2023-04-20,,14:20:00,RJ,101,282,ITABORAI,AUSÊNCIA DE REAÇÃO DO CONDUTOR,QUEDA DE OCUPANTE DE VEÍCULO,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CÉU CLARO,DUPLA,Curva;Declive,Não,1,0,1,0,0,0,1,1,-22.73660679,-42.80033112,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2023,,14,,,,1.0
518128.0,2023-04-20,,09:15:00,RJ,101,321,NITEROI,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,EVENTOS ATÍPICOS,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,CÉU CLARO,MÚLTIPLA,Curva,Não,1,0,1,0,0,0,1,1,-22.86981096,-43.11046465,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2023,,9,,,,1.0
518229.0,2023-04-21,,08:00:00,RJ,101,313,SAO GONCALO,AUSÊNCIA DE REAÇÃO DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CÉU CLARO,DUPLA,Reta,Não,2,0,1,0,1,0,1,2,-22.81049093,-43.06983304,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,8,,,,1.0
518243.0,2023-04-17,,13:30:00,RJ,101,297,ITABORAI,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CÉU CLARO,DUPLA,Curva,Sim,3,0,1,0,2,0,1,2,-22.76942037,-42.91873581,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,13,,,,1.0
518280.0,2023-04-21,,10:30:00,RJ,101,308,SAO GONCALO,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,ENGAVETAMENTO,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CÉU CLARO,DUPLA,Reta,Não,4,0,1,0,3,0,1,3,-22.79309326,-43.02479595,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,10,,,,1.0
518356.0,2023-04-21,,21:20:00,RJ,101,"310,9",SAO GONCALO,INGESTÃO DE ÁLCOOL PELO CONDUTOR,COLISÃO COM OBJETO,SEM VÍTIMAS,PLENA NOITE,Crescente,CÉU CLARO,DUPLA,Reta,Sim,1,0,0,0,1,0,0,1,-22.79717023,-43.04404993,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,21,,,,0.0
518666.0,2023-04-23,,11:26:00,RJ,101,266,RIO BONITO,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,CÉU CLARO,DUPLA,Reta,Não,2,0,1,0,1,0,1,2,-22.70861445,-42.65178735,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2023,,11,,,,1.0
518685.0,2023-04-23,,10:40:00,RJ,101,264,RIO BONITO,CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,CÉU CLARO,DUPLA,Reta,Não,4,0,1,0,2,1,1,2,-22.71818337,-42.63600702,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2023,,10,,,,1.0
518702.0,2023-04-23,,14:30:00,RJ,101,318,SAO GONCALO,REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENA NOITE,Crescente,CÉU CLARO,DUPLA,Reta,Não,4,0,1,0,3,0,1,2,-22.84556784,-43.09859276,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,14,,,,1.0
518764.0,2023-04-23,,21:50:00,RJ,101,262,RIO BONITO,INGESTÃO DE ÁLCOOL PELO CONDUTOR,QUEDA DE OCUPANTE DE VEÍCULO,COM VÍTIMAS FERIDAS,PLENA NOITE,Decrescente,GAROA/CHUVISCO,DUPLA,Curva,Sim,1,0,1,0,0,0,1,1,-22.71367506,-42.62052996,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2023,,21,,,,1.0
518803.0,2023-04-20,,23:00:00,RJ,101,312,SAO GONCALO,DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS,INCÊNDIO,SEM VÍTIMAS,PLENA NOITE,Crescente,CÉU CLARO,SIMPLES,Reta,Sim,1,0,0,0,1,0,0,1,-22.80546555,-43.06156967,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,23,,,,0.0
518909.0,2023-04-24,,11:50:00,RJ,101,305,SAO GONCALO,ULTRAPASSAGEM INDEVIDA,COLISÃO LATERAL MESMO SENTIDO,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,CÉU CLARO,SIMPLES,Reta,Sim,3,0,2,0,1,0,2,2,-22.78702832,-42.99589293,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2023,,11,,,,1.0
